# todos import file (pipe-delimited)
# columns: user_id|title|content|startDate|endDate|completed|priority|dtype
user|화학 리포트 작성|바이오차 온실가스 저감 실험 결과 정리|2025-11-18 10:00:00|2025-11-18 12:00:00|1|2|TIME
user|자료구조 과제|연결리스트 구현 및 제출|2025-11-19 14:00:00|2025-11-19 17:00:00|0|1|TIME
user|로켓 텔레메트리|LoRa 통신 모듈 RSSI 테스트|2025-11-20 13:00:00|2025-11-20 15:00:00|0|3|TIME
user|알고리즘 캠프|부산 벡스코 알고리즘 대회 참가|2025-11-21 09:00:00|2025-11-23 18:00:00|0|1|PERIOD
user|Docker 세팅|팀 프로젝트 DB 컨테이너 설정|2025-11-24 20:00:00|2025-11-24 22:00:00|0|2|TIME
user|자율주행 스터디|OpenCV 차선 인식 알고리즘 분석|2025-11-26 19:00:00|2025-11-26 21:00:00|0|2|TIME
user|교내 해커톤|무박 2일 앱 개발 챌린지|2025-11-28 10:00:00|2025-11-30 12:00:00|0|1|PERIOD
user|미분적분학 스터디|3장 도함수의 활용 복습|2025-12-02 16:00:00|2025-12-02 18:00:00|0|3|TIME
user|자바 기말 프로젝트|최종 발표 자료 및 데모 준비|2025-12-05 19:00:00|2025-12-05 21:00:00|0|1|TIME
user|기말고사 기간|전공 4과목 시험 대비 집중 공부|2025-12-10 09:00:00|2025-12-14 18:00:00|0|1|PERIOD
user|네트워크 과제|TCP/IP 흐름 제어 보고서 작성|2025-12-16 20:00:00|2025-12-16 22:00:00|0|2|TIME
user|동아리 종강 총회|한 학기 활동 결산 및 회식|2025-12-20 18:00:00|2025-12-20 22:00:00|0|3|TIME
user|크리스마스 여행|강릉 겨울 바다 여행|2025-12-24 10:00:00|2025-12-25 20:00:00|0|2|PERIOD
